干员名称	是否已招募	星级	等级	精英化等级	潜能	信赖	当前心情
但书	TRUE	5	80	2	1	100	24
龙舌兰	TRUE	5	80	2	1	100	24
巫恋	TRUE	5	80	2	1	100	24
鸿雪	TRUE	5	80	2	1	100	24
图耶	TRUE	5	80	2	1	100	24
绮良	TRUE	5	80	2	1	100	24
可露希尔	TRUE	5	80	2	1	100	24
月见夜	TRUE	5	80	2	1	100	24
空爆	TRUE	5	80	2	1	100	24
玫兰莎	TRUE	5	80	2	1	100	24
慕斯	TRUE	5	80	2	1	100	24
雪雉	TRUE	5	80	2	1	100	24
拜松	TRUE	5	80	2	1	100	24
推进之王	TRUE	5	80	2	1	100	24
摩根	TRUE	5	80	2	1	100	24
戴菲恩	TRUE	5	80	2	1	100	24
贝洛内	TRUE	5	80	2	1	100	24
伺夜	TRUE	5	80	2	1	100	24
八幡海铃	TRUE	5	80	2	1	100	24
清流	TRUE	5	80	2	1	100	24
温蒂	TRUE	5	80	2	1	100	24
森蚺	TRUE	5	80	2	1	100	24
冬时	TRUE	5	80	2	1	100	24
娜斯提	TRUE	5	80	2	1	100	24
多萝西	TRUE	5	80	2	1	100	24
缪尔赛思	TRUE	5	80	2	1	100	24
斯卡蒂	TRUE	5	80	2	1	100	24
幽灵鲨	TRUE	5	80	2	1	100	24
歌蕾蒂娅	TRUE	5	80	2	1	100	24
乌尔比安	TRUE	5	80	2	1	100	24
安哲拉	TRUE	5	80	2	1	100	24
砾	TRUE	5	80	2	1	100	24
斑点	TRUE	5	80	2	1	100	24
夜烟	TRUE	5	80	2	1	100	24
温米	TRUE	5	80	2	1	100	24
苍苔	TRUE	5	80	2	1	100	24
引星棘刺	TRUE	5	80	2	1	100	24
野鬃	TRUE	5	80	2	1	100	24
灰毫	TRUE	5	80	2	1	100	24
正义骑士号	TRUE	5	80	2	1	100	24
芬	TRUE	5	80	2	1	100	24
泡普卡	TRUE	5	80	2	1	100	24
桃金娘	TRUE	5	80	2	1	100	24
杜林	TRUE	5	80	2	1	100	24
褐果	TRUE	5	80	2	1	100	24
