干员名称	是否已招募	星级	等级	精英化等级	潜能	信赖
但书	TRUE	5	90	2	6	200
龙舌兰	TRUE	5	90	2	6	200
巫恋	TRUE	5	90	2	6	200
月见夜	TRUE	3	30	1	6	100
空爆	TRUE	3	55	1	6	100
桃金娘	TRUE	4	80	2	6	200
杜林	TRUE	3	30	1	6	100
褐果	TRUE	4	80	2	6	200
鸿雪	TRUE	6	90	2	6	200
图耶	TRUE	5	90	2	6	200
绮良	TRUE	5	90	2	6	200
可露希尔	TRUE	5	90	2	6	200
清流	TRUE	4	80	2	6	200
温蒂	TRUE	6	90	2	6	200
冬时	TRUE	5	90	2	6	200
娜斯提	TRUE	6	90	2	6	200
多萝西	TRUE	6	90	2	6	200
砾	TRUE	4	80	2	6	200
斑点	TRUE	3	30	1	6	100
夜烟	TRUE	4	80	2	6	200
温米	TRUE	4	80	2	6	200
苍苔	TRUE	5	90	2	6	200
引星棘刺	TRUE	6	90	2	6	200
野鬃	TRUE	5	90	2	6	200
灰毫	TRUE	5	90	2	6	200
斯卡蒂	TRUE	6	90	2	6	200
幽灵鲨	TRUE	5	90	2	6	200
歌蕾蒂娅	TRUE	6	90	2	6	200
森蚺	TRUE	6	90	2	6	200
推进之王	TRUE	6	90	2	6	200
摩根	FALSE	5	1	0	1	0
戴菲恩	FALSE	5	1	0	1	0
贝洛内	TRUE	5	90	2	6	200
伺夜	TRUE	6	90	2	6	200
八幡海铃	TRUE	6	90	2	6	200
菲亚梅塔	TRUE	6	90	2	6	200
泡普卡	TRUE	4	80	2	6	200
芬	TRUE	3	30	1	6	100
玫兰莎	TRUE	3	55	1	6	100
慕斯	TRUE	4	80	2	6	200
雪雉	TRUE	5	90	2	6	200
拜松	TRUE	5	90	2	6	200
乌尔比安	TRUE	6	90	2	6	200
安哲拉	TRUE	5	90	2	6	200
